1.png
0;0 0;470
0;470 320;470
320;470 320;830
320;830 890;830
885;470 1200;470
885;470 885;830
1200;0 1200;470
470;100 740;100
470;210 740;210
470;100 470;210
740;100 740;210

2.png
740;745 975;745
740;745 740;820
740;820 975;820
975;745 975;820
0;0 0;900
1200;0 1200;900
1020;580 1200;580
1020;500 1020;580
1020;500 1200;500
640;500 820;500
640;500 640;575
640;575 820;575
820;500 820;575
300;260 480;260
480;260 480;415
300;260 300;415
300;415 480;415
0;200 200;200
200;200 200;410
0;410 200;410

3.png
0;0 0;900
1200;0 1200;900
520;760 640;760
520;760 520;800
520;800 640;800
640;760 640;800
1060;645 1200;645
1060;645 1060;680
1060;680 1200;680
480;560 840;560
480;560 480;610
840;560 840;610
480;610 840;610
720;520 720;560
720;520 840;520
840;520 840;560
400;300 540;300
400;300 400;410
400;410 540;410
540;300 540;410
0;245 155;245
155;245 155;285
0;285 155;285
340;0 340;40
340;40 515;40
515;0 515;40
800;760 940;760
800;760 800;800
940;760 940;800
800;800 940;800

4.png
0;0 0;900
1200;0 1200;900
0;540 160;540
160;540 160;575
0;575 160;575
340;540 340;580
340;540 520;540
340;580 520;580
340;800 520;800
340;800 340;900
520;800 520;900
335;0 335;415
335;415 440;415
380;0 380;220
380;220 440;220
440;220 440;415
820;0 820;45
820;45 867;45
867;0 867;45
820;180 820;410
740;400 820;400
740;400 740;580
740;580 860;580
860;180 860;580
860;180 1000;180
1000;180 1000;215
860;215 1000;215
1080;320 1200;320
1080;360 1200;360

5.png
0;0 0;900
1200;0 1200;900
280;780 380;780
280;780 280;815
380;780 380;900
280;815 340;815
340;815 340;900
820;780 920;780
820;780 820;900
920;780 920;820
860;820 920;820
860;820 860;900
825;600 920;600
825;640 825;640
920;600 920;640
825;600 825;640
1100;400 1200;400
1100;400 1100;460
1100;460 1200;460
0;600 100;600
100;600 100;640
0;640 100;640
100;220 175;220
100;220 100;260
175;220 175;260
100;260 175;260
400;140 475;140
400;140 400;185
475;140 475;185
400;185 475;185
560;180 640;180
560;180 560;225
640;180 640;225
560;225 640;225
720;220 800;220
720;220 720;260
800;220 800;260
720;260 800;260
380;0 380;40
380;40 820;40
820;0 820;40
820;600 920;600
820;600 820;645
920;600 920;645
820;645 920;645

6.png
0;0 0;900
1200;0 1200;900
380;820 820;820
380;820 380;900
820;820 820;900
320;600 440;600
320;600 320;640
320;640 440;640
440;600 440;640
720;200 720;640
720;200 1180;200
720;640 1200;640
1180;0 1180;200
140;460 140;500
0;460 140;460
0;500 140;500
1060;0 1060;100
820;100 1060;100
820;55 820;100
720;55 820;55
720;0 720;55
240;280 480;280
480;280 480;320
200;320 480;320
200;220 200;320
140;220 200;220
140;180 140;220
140;180 240;180
240;180 240;280
480;0 480;140
340;140 480;140
340;40 340;140
0;40 480;40

7.png
0;0 0;900
1200;0 1200;900
720;520 720;900
720;520 1060;520
1060;520 1060;560
920;560 1060;560
920;560 920;860
920;860 1060;860
1060;860 1060;900
720;400 960;400
960;340 960;400
960;340 1200;340
720;280 720;400
1040;40 720;280
960;0 960;40
740;0 740;40
740;40 580;200
580;200 580;400
480;400 580;400
480;400 480;480
380;480 480;480
380;260 380;480
260;260 380;260
260;180 260;260
320;120 260;180
320;120 380;120
380;0 380;120
340;600 520;600
340;600 340;620
520;600 520;640
480;640 520;640
480;640 480;740
460;740 480;640
460;740 460;740
260;680 480;900
260;600 260;680
80;420 260;600
0;420 80;420
220;0 220;40
0;40 220;40

8.png
620;60 560;0
1080;0 1080;220
1080;220 1180;220
1180;220 1180;560
1080;560 1180;560
1080;560 1080;680
960;800 1080;680
960;800 960;900
380;600 380;900
380;600 620;600
